"date" "hour" "B" "F" "L" "M" "N" "O" "P" "Q"
19970101 100 NA NA NA NA NA NA NA NA
19970101 200 NA NA NA NA NA NA NA NA
19970101 300 NA NA NA NA NA NA NA NA
19970101 400 NA NA NA NA NA NA NA NA
19970101 500 NA NA NA NA NA NA NA NA
19970101 600 NA NA NA NA NA NA NA NA
19970101 700 NA NA NA NA NA NA NA NA
19970101 800 NA NA NA NA NA NA NA NA
19970101 900 NA NA NA NA NA NA NA NA
19970101 1000 NA NA NA NA NA NA NA NA
19970101 1100 NA NA NA NA NA NA NA NA
19970101 1200 NA NA NA NA NA NA NA NA
19970101 1300 NA NA NA NA NA NA NA NA
19970101 1400 NA NA NA NA NA NA NA NA
19970101 1500 NA NA NA NA NA NA NA NA
19970101 1600 NA NA NA NA NA NA NA NA
19970101 1700 NA NA NA NA NA NA NA NA
19970101 1800 NA NA NA NA NA NA NA NA
19970101 1900 NA NA NA NA NA NA NA NA
19970101 2000 NA NA NA NA NA NA NA NA
19970101 2100 NA NA NA NA NA NA NA NA
19970101 2200 NA NA NA NA NA NA NA NA
19970101 2300 NA NA NA NA NA NA NA NA
19970101 2400 NA NA NA NA NA NA NA NA
19970102 100 NA NA NA NA NA NA NA NA
19970102 200 NA NA NA NA NA NA NA NA
19970102 300 NA NA NA NA NA NA NA NA
19970102 400 NA NA NA NA NA NA NA NA
19970102 500 NA NA NA NA NA NA NA NA
19970102 600 NA NA NA NA NA NA NA NA
19970102 700 NA NA NA NA NA NA NA NA
19970102 800 NA NA NA NA NA NA NA NA
19970102 900 NA NA NA NA NA NA NA NA
19970102 1000 NA NA NA NA NA NA NA NA
19970102 1100 NA NA NA NA NA NA NA NA
19970102 1200 NA NA NA NA NA NA NA NA
19970102 1300 NA NA NA NA NA NA NA NA
19970102 1400 NA NA NA NA NA NA NA NA
19970102 1500 NA NA NA NA NA NA NA NA
19970102 1600 NA NA NA NA NA NA NA NA
19970102 1700 NA NA NA NA NA NA NA NA
19970102 1800 NA NA NA NA NA NA NA NA
19970102 1900 NA NA NA NA NA NA NA NA
19970102 2000 NA NA NA NA NA NA NA NA
19970102 2100 NA NA NA NA NA NA NA NA
19970102 2200 NA NA NA NA NA NA NA NA
19970102 2300 NA NA NA NA NA NA NA NA
19970102 2400 NA NA NA NA NA NA NA NA
19970103 100 NA NA NA NA NA NA NA NA
19970103 200 NA NA NA NA NA NA NA NA
19970103 300 NA NA NA NA NA NA NA NA
19970103 400 NA NA NA NA NA NA NA NA
19970103 500 NA NA NA NA NA NA NA NA
19970103 600 NA NA NA NA NA NA NA NA
19970103 700 NA NA NA NA NA NA NA NA
19970103 800 NA NA NA NA NA NA NA NA
19970103 900 NA NA NA NA NA NA NA NA
19970103 1000 NA NA NA NA NA NA NA NA
19970103 1100 NA NA NA NA NA NA NA NA
19970103 1200 NA NA NA NA NA NA NA NA
19970103 1300 NA NA NA NA NA NA NA NA
19970103 1400 NA NA NA NA NA NA NA NA
19970103 1500 NA NA NA NA NA NA NA NA
19970103 1600 NA NA NA NA NA NA NA NA
19970103 1700 NA NA NA NA NA NA NA NA
19970103 1800 NA NA NA NA NA NA NA NA
19970103 1900 NA NA NA NA NA NA NA NA
19970103 2000 NA NA NA NA NA NA NA NA
19970103 2100 NA NA NA NA NA NA NA NA
19970103 2200 NA NA NA NA NA NA NA NA
19970103 2300 NA NA NA NA NA NA NA NA
19970103 2400 NA NA NA NA NA NA NA NA
19970104 100 NA NA NA NA NA NA NA NA
19970104 200 NA NA NA NA NA NA NA NA
19970104 300 NA NA NA NA NA NA NA NA
19970104 400 NA NA NA NA NA NA NA NA
19970104 500 NA NA NA NA NA NA NA NA
19970104 600 NA NA NA NA NA NA NA NA
19970104 700 NA NA NA NA NA NA NA NA
19970104 800 NA NA NA NA NA NA NA NA
19970104 900 NA NA NA NA NA NA NA NA
19970104 1000 NA NA NA NA NA NA NA NA
19970104 1100 NA NA NA NA NA NA NA NA
19970104 1200 NA NA NA NA NA NA NA NA
19970104 1300 NA NA NA NA NA NA NA NA
19970104 1400 NA NA NA NA NA NA NA NA
19970104 1500 NA NA NA NA NA NA NA NA
19970104 1600 NA NA NA NA NA NA NA NA
19970104 1700 NA NA NA NA NA NA NA NA
19970104 1800 NA NA NA NA NA NA NA NA
19970104 1900 NA NA NA NA NA NA NA NA
19970104 2000 NA NA NA NA NA NA NA NA
19970104 2100 NA NA NA NA NA NA NA NA
19970104 2200 NA NA NA NA NA NA NA NA
19970104 2300 NA NA NA NA NA NA NA NA
19970104 2400 NA NA NA NA NA NA NA NA
19970105 100 NA NA NA NA NA NA NA NA
19970105 200 NA NA NA NA NA NA NA NA
19970105 300 NA NA NA NA NA NA NA NA
19970105 400 NA NA NA NA NA NA NA NA
19970105 500 NA NA NA NA NA NA NA NA
19970105 600 NA NA NA NA NA NA NA NA
19970105 700 NA NA NA NA NA NA NA NA
19970105 800 NA NA NA NA NA NA NA NA
19970105 900 NA NA NA NA NA NA NA NA
19970105 1000 NA NA NA NA NA NA NA NA
19970105 1100 NA NA NA NA NA NA NA NA
19970105 1200 NA NA NA NA NA NA NA NA
19970105 1300 NA NA NA NA NA NA NA NA
19970105 1400 NA NA NA NA NA NA NA NA
19970105 1500 NA NA NA NA NA NA NA NA
19970105 1600 NA NA NA NA NA NA NA NA
19970105 1700 NA NA NA NA NA NA NA NA
19970105 1800 NA NA NA NA NA NA NA NA
19970105 1900 NA NA NA NA NA NA NA NA
19970105 2000 NA NA NA NA NA NA NA NA
19970105 2100 NA NA NA NA NA NA NA NA
19970105 2200 NA NA NA NA NA NA NA NA
19970105 2300 NA NA NA NA NA NA NA NA
19970105 2400 NA NA NA NA NA NA NA NA
19970106 100 NA NA NA NA NA NA NA NA
19970106 200 NA NA NA NA NA NA NA NA
19970106 300 NA NA NA NA NA NA NA NA
19970106 400 NA NA NA NA NA NA NA NA
19970106 500 NA NA NA NA NA NA NA NA
19970106 600 NA NA NA NA NA NA NA NA
19970106 700 NA NA NA NA NA NA NA NA
19970106 800 NA NA NA NA NA NA NA NA
19970106 900 NA NA NA NA NA NA NA NA
19970106 1000 NA NA NA NA NA NA NA NA
19970106 1100 NA NA NA NA NA NA NA NA
19970106 1200 NA NA NA NA NA NA NA NA
19970106 1300 NA NA NA NA NA NA NA NA
19970106 1400 NA NA NA NA NA NA NA NA
19970106 1500 NA NA NA NA NA NA NA NA
19970106 1600 NA NA NA NA NA NA NA NA
19970106 1700 NA NA NA NA NA NA NA NA
19970106 1800 NA NA NA NA NA NA NA NA
19970106 1900 NA NA NA NA NA NA NA NA
19970106 2000 NA NA NA NA NA NA NA NA
19970106 2100 NA NA NA NA NA NA NA NA
19970106 2200 NA NA NA NA NA NA NA NA
19970106 2300 NA NA NA NA NA NA NA NA
19970106 2400 NA NA NA NA NA NA NA NA
19970107 100 NA NA NA NA NA NA NA NA
19970107 200 NA NA NA NA NA NA NA NA
19970107 300 NA NA NA NA NA NA NA NA
19970107 400 NA NA NA NA NA NA NA NA
19970107 500 NA NA NA NA NA NA NA NA
19970107 600 NA NA NA NA NA NA NA NA
19970107 700 NA NA NA NA NA NA NA NA
19970107 800 NA NA NA NA NA NA NA NA
19970107 900 NA NA NA NA NA NA NA NA
19970107 1000 NA NA NA NA NA NA NA NA
19970107 1100 NA NA NA NA NA NA NA NA
19970107 1200 NA NA NA NA NA NA NA NA
19970107 1300 NA NA NA NA NA NA NA NA
19970107 1400 NA NA NA NA NA NA NA NA
19970107 1500 NA NA NA NA NA NA NA NA
19970107 1600 NA NA NA NA NA NA NA NA
19970107 1700 NA NA NA NA NA NA NA NA
19970107 1800 NA NA NA NA NA NA NA NA
19970107 1900 NA NA NA NA NA NA NA NA
19970107 2000 NA NA NA NA NA NA NA NA
19970107 2100 NA NA NA NA NA NA NA NA
19970107 2200 NA NA NA NA NA NA NA NA
19970107 2300 NA NA NA NA NA NA NA NA
19970107 2400 NA NA NA NA NA NA NA NA
19970108 100 NA NA NA NA NA NA NA NA
19970108 200 NA NA NA NA NA NA NA NA
19970108 300 NA NA NA NA NA NA NA NA
19970108 400 NA NA NA NA NA NA NA NA
19970108 500 NA NA NA NA NA NA NA NA
19970108 600 NA NA NA NA NA NA NA NA
19970108 700 NA NA NA NA NA NA NA NA
19970108 800 NA NA NA NA NA NA NA NA
19970108 900 NA NA NA NA NA NA NA NA
19970108 1000 NA NA NA NA NA NA NA NA
19970108 1100 NA NA NA NA NA NA NA NA
19970108 1200 NA NA NA NA NA NA NA NA
19970108 1300 NA NA NA NA NA NA NA NA
19970108 1400 NA NA NA NA NA NA NA NA
19970108 1500 NA NA NA NA NA NA NA NA
19970108 1600 NA NA NA NA NA NA NA NA
19970108 1700 NA NA NA NA NA NA NA NA
19970108 1800 NA NA NA NA NA NA NA NA
19970108 1900 NA NA NA NA NA NA NA NA
19970108 2000 NA NA NA NA NA NA NA NA
19970108 2100 NA NA NA NA NA NA NA NA
19970108 2200 NA NA NA NA NA NA NA NA
19970108 2300 NA NA NA NA NA NA NA NA
19970108 2400 NA NA NA NA NA NA NA NA
19970109 100 NA NA NA NA NA NA NA NA
19970109 200 NA NA NA NA NA NA NA NA
19970109 300 NA NA NA NA NA NA NA NA
19970109 400 NA NA NA NA NA NA NA NA
19970109 500 NA NA NA NA NA NA NA NA
19970109 600 NA NA NA NA NA NA NA NA
19970109 700 NA NA NA NA NA NA NA NA
19970109 800 NA NA NA NA NA NA NA NA
19970109 900 NA NA NA NA NA NA NA NA
19970109 1000 NA NA NA NA NA NA NA NA
19970109 1100 NA NA NA NA NA NA NA NA
19970109 1200 NA NA NA NA NA NA NA NA
19970109 1300 NA NA NA NA NA NA NA NA
19970109 1400 NA NA NA NA NA NA NA NA
19970109 1500 NA NA NA NA NA NA NA NA
19970109 1600 NA NA NA NA NA NA NA NA
19970109 1700 NA NA NA NA NA NA NA NA
19970109 1800 NA NA NA NA NA NA NA NA
19970109 1900 NA NA NA NA NA NA NA NA
19970109 2000 NA NA NA NA NA NA NA NA
19970109 2100 NA NA NA NA NA NA NA NA
19970109 2200 NA NA NA NA NA NA NA NA
19970109 2300 NA NA NA NA NA NA NA NA
19970109 2400 NA NA NA NA NA NA NA NA
19970110 100 NA NA NA NA NA NA NA NA
19970110 200 NA NA NA NA NA NA NA NA
19970110 300 NA NA NA NA NA NA NA NA
19970110 400 NA NA NA NA NA NA NA NA
19970110 500 NA NA NA NA NA NA NA NA
19970110 600 NA NA NA NA NA NA NA NA
19970110 700 NA NA NA NA NA NA NA NA
19970110 800 NA NA NA NA NA NA NA NA
19970110 900 NA NA NA NA NA NA NA NA
19970110 1000 NA NA NA NA NA NA NA NA
19970110 1100 NA NA NA NA NA NA NA NA
19970110 1200 NA NA NA NA NA NA NA NA
19970110 1300 NA NA NA NA NA NA NA NA
19970110 1400 NA NA NA NA NA NA NA NA
19970110 1500 NA NA NA NA NA NA NA NA
19970110 1600 NA NA NA NA NA NA NA NA
19970110 1700 NA NA NA NA NA NA NA NA
19970110 1800 NA NA NA NA NA NA NA NA
19970110 1900 NA NA NA NA NA NA NA NA
19970110 2000 NA NA NA NA NA NA NA NA
19970110 2100 NA NA NA NA NA NA NA NA
19970110 2200 NA NA NA NA NA NA NA NA
